iter	Passed	Remaining
1127	2547	3098
1128	2549	3095
1129	2551	3093
1130	2554	3091
1131	2556	3089
1132	2558	3086
1133	2560	3084
1134	2562	3081
1135	2564	3078
1136	2566	3076
1137	2568	3073
1138	2570	3071
1139	2572	3069
1140	2574	3066
1141	2576	3063
1142	2578	3061
1143	2580	3058
1144	2582	3055
1145	2584	3053
1146	2587	3051
1147	2589	3049
1148	2591	3047
1149	2593	3044
1150	2595	3042
1151	2597	3039
1152	2599	3036
1153	2601	3034
1154	2604	3032
1155	2605	3029
1156	2607	3027
1157	2609	3024
1158	2611	3021
1159	2613	3019
1160	2615	3016
1161	2618	3014
1162	2620	3012
1163	2622	3010
1164	2625	3008
1165	2627	3005
1166	2629	3002
1167	2631	3000
1168	2633	2998
1169	2635	2995
1170	2637	2993
1171	2639	2990
1172	2641	2988
1173	2643	2985
1174	2645	2982
1175	2647	2980
1176	2649	2978
1177	2651	2975
1178	2653	2973
1179	2655	2970
1180	2657	2967
1181	2659	2965
1182	2661	2962
1183	2663	2960
1184	2665	2958
1185	2668	2956
1186	2670	2953
1187	2672	2951
1188	2674	2948
1189	2676	2945
1190	2677	2943
1191	2680	2940
1192	2682	2938
1193	2684	2936
1194	2686	2934
1195	2688	2931
1196	2690	2928
1197	2692	2926
1198	2694	2923
1199	2696	2921
1200	2698	2919
1201	2701	2916
1202	2703	2914
1203	2705	2912
1204	2707	2909
1205	2709	2907
1206	2711	2904
1207	2714	2902
1208	2716	2900
1209	2718	2898
1210	2720	2895
1211	2722	2893
1212	2724	2890
1213	2726	2888
1214	2728	2885
1215	2731	2884
1216	2734	2882
1217	2736	2879
1218	2737	2877
1219	2739	2874
1220	2741	2872
1221	2743	2869
1222	2746	2867
1223	2749	2866
1224	2752	2864
1225	2754	2861
1226	2756	2859
1227	2758	2857
1228	2760	2855
1229	2763	2853
1230	2766	2851
1231	2768	2849
1232	2771	2847
1233	2773	2845
1234	2775	2843
1235	2778	2841
1236	2781	2839
1237	2783	2837
1238	2785	2835
1239	2788	2832
1240	2790	2830
1241	2793	2828
1242	2795	2827
1243	2798	2825
1244	2801	2824
1245	2804	2822
1246	2806	2820
1247	2809	2818
1248	2811	2816
1249	2814	2814
1250	2817	2812
1251	2819	2810
1252	2821	2808
1253	2824	2806
1254	2826	2803
1255	2829	2802
1256	2831	2799
1257	2833	2797
1258	2835	2795
1259	2838	2793
1260	2840	2791
1261	2844	2790
1262	2848	2789
1263	2850	2787
1264	2852	2784
1265	2854	2781
1266	2856	2779
1267	2858	2777
1268	2861	2775
1269	2863	2772
1270	2865	2770
1271	2867	2767
1272	2868	2765
1273	2870	2762
1274	2873	2760
1275	2876	2758
1276	2878	2756
1277	2880	2754
1278	2882	2751
1279	2883	2748
1280	2885	2746
1281	2888	2744
1282	2890	2742
1283	2893	2740
1284	2895	2737
1285	2897	2735
1286	2899	2732
1287	2901	2730
